work,kind,path,script,video,audio,still,page,size
WYGWYL_THE_SIX,experiment,cut/out/WYGWYL_THE_SIX,,6,0,0,1,461.7MB
WYGWYL_THE_SIX 2,experiment,cut/out/WYGWYL_THE_SIX 2,,6,0,0,1,461.7MB
archigram,experiment,cut/out/archigram,cut/archigram.py,0,0,14,1,1.7MB
arspoetica,experiment,cut/out/arspoetica,cut/arspoetica_site.py,40,0,0,1,133.0MB
beflix_e,tool,cut/out/beflix_e,cut/beflix_e.py,0,0,18,0,27.3MB
bind,experiment,cut/out/bind,cut/bind.py,0,0,2,0,306.0KB
churn,experiment,cut/out/churn,cut/churn.py,19,19,0,1,1.1GB
collage,experiment,cut/out/collage,cut/collage.py,1,0,33,1,10.0MB
dress,experiment,cut/out/dress,cut/dress.py,15,0,0,1,7.9MB
elements,experiment,cut/out/elements,cut/parts.py,0,0,2033,0,1.1GB
footage,experiment,cut/out/footage,cut/leads.py,14,0,0,0,194.8MB
harvest,experiment,cut/out/harvest,cut/harvest.py,258,0,0,2,795.0MB
harvest_flow,experiment,cut/out/harvest_flow,cut/harvest.py,258,0,0,1,812.1MB
held,tool,cut/out/held,,0,0,0,1,81.9KB
inhabit,experiment,cut/out/inhabit,cut/inhabit.py,14,0,0,1,6.8MB
journeys,experiment,cut/out/journeys,cut/journeys.py,6,3,0,1,393.0MB
lab,experiment,cut/out/lab,cut/lab_site.py,0,0,9,3,977.8KB
loom,experiment,cut/out/loom,cut/loom.py,4,0,0,1,15.8MB
lucier,experiment,cut/out/lucier,cut/lucier.py,2,0,20,1,4.5MB
meta,experiment,cut/out/meta,cut/pf/meta.py,0,0,15,0,20.0MB
moussa,experiment,cut/out/moussa,cut/moussa.py,14,14,0,2,1.1GB
music,experiment,cut/out/music,cut/music.py,0,2,0,0,11.3MB
op,tool,cut/out/op,,0,0,0,1,525.6KB
op15,tool,cut/out/op15,,0,0,0,1,533.7KB
op16,tool,cut/out/op16,,0,0,0,2,649.9KB
parts,experiment,cut/out/parts,cut/parts.py,0,0,9,0,7.2MB
partswap,experiment,cut/out/partswap,cut/partswap.py,0,0,1,0,143.3KB
paste,tool,cut/out/paste,,0,0,0,1,39.8KB
patchfield,experiment,cut/out/patchfield,cut/patchfield.py,1,0,1,1,2.8MB
pf,tool,cut/out/pf,,0,0,3,0,886.8KB
previs,experiment,cut/out/previs,cut/previs.py,14,0,0,1,5.0MB
quilt,experiment,cut/out/quilt,cut/quilt.py,0,0,1,0,2.7MB
scene,experiment,cut/out/scene,cut/scene.py,0,0,28,1,4.0MB
second,experiment,cut/out/second,cut/pf/second.py,0,0,15,0,84.6MB
sheets,experiment,cut/out/sheets,cut/cutsheet.py,0,0,14,1,1.3MB
shorts,experiment,cut/out/shorts,cut/shorts.py,12,6,0,1,923.1MB
sound,experiment,cut/out/sound,cut/soundcollage.py,0,12,0,0,144.4MB
studio,tool,cut/out/studio,,0,0,0,3,60.6KB
textule,experiment,cut/out/textule,cut/patchfield.py,5,0,0,1,955.4KB
thumbs,tool,cut/out/thumbs,cut/build_db.py,0,0,2033,0,2.8MB
MARKOV_POET,source,MARKOV_POET/videos,,77,0,0,0,239.6MB
MARKOV_POET_00,source,MARKOV_POET_00/videos,,58,0,0,0,223.5MB
rendered_cuts,cut,rendered_cuts,,3,0,0,0,570.3MB
contact_sheets,cut,contact_sheets,,0,0,135,0,7.8MB
cut_out_root,cut,cut/out,,7,2,0,0,1.2GB
